state_key,state,scraped_lgas,scraped_wards,report_wards,ward_deficit,scraped_pus,report_pus,pu_deficit,pu_deficit_pct,report_reg_voters_2023,empty_wards_in_scrape
abia,Abia,17,184,184,0,4041,4062,21,0.52,2120808,1
adamawa,Adamawa,21,226,226,0,3991,4104,113,2.75,2196566,4
akwa-ibom,Akwa Ibom,31,329,329,0,4095,4353,258,5.93,2357418,7
anambra,Anambra,21,326,326,0,5720,5720,0,0.0,2656437,0
bauchi,Bauchi,20,212,212,0,5315,5423,108,1.99,2749268,4
bayelsa,Bayelsa,8,105,105,0,2244,2244,0,0.0,1056862,0
benue,Benue,23,276,276,0,4960,5102,142,2.78,2777727,4
borno,Borno,27,302,312,10,4978,5071,93,1.83,2513281,0
cross-river,Cross River,18,193,193,0,3281,3281,0,0.0,1766466,0
delta,Delta,25,270,270,0,5863,5863,0,0.0,3221697,0
ebonyi,Ebonyi,13,171,171,0,2829,2946,117,3.97,1597646,6
edo,Edo,18,192,192,0,4519,4519,0,0.0,2501081,0
ekiti,Ekiti,16,177,177,0,2132,2445,313,12.8,987647,15
enugu,Enugu,17,260,260,0,4000,4145,145,3.5,2112793,5
fct,FCT,6,62,62,0,2762,2822,60,2.13,1570307,1
gombe,Gombe,11,114,114,0,2988,2988,0,0.0,1575794,0
imo,Imo,27,305,305,0,4692,4758,66,1.39,2419922,4
jigawa,Jigawa,27,287,287,0,4450,4522,72,1.59,2351298,2
kaduna,Kaduna,23,255,255,0,8012,8012,0,0.0,4335208,0
kano,Kano,44,484,484,0,11155,11222,67,0.6,5921370,1
katsina,Katsina,34,361,361,0,6327,6652,325,4.89,3516719,11
kebbi,Kebbi,21,225,225,0,3599,3743,144,3.85,2032041,9
kogi,Kogi,21,239,239,0,3508,3508,0,0.0,1932654,0
kwara,Kwara,16,193,193,0,2887,2887,0,0.0,1695927,0
lagos,Lagos,20,245,245,0,12944,13325,381,2.86,7060195,3
nasarawa,Nasarawa,13,147,147,0,3256,3256,0,0.0,1899244,0
niger,Niger,25,274,274,0,4812,4950,138,2.79,2698344,7
ogun,Ogun,20,236,236,0,4983,5042,59,1.17,2688305,1
ondo,Ondo,18,203,203,0,3904,3933,29,0.74,1991344,1
osun,Osun,30,332,332,0,3763,3763,0,0.0,1954800,0
oyo,Oyo,33,351,351,0,6390,6390,0,0.0,3276675,0
plateau,Plateau,17,207,207,0,4989,4989,0,0.0,2789528,0
rivers,Rivers,23,319,319,0,6866,6866,0,0.0,3537190,0
sokoto,Sokoto,23,244,244,0,3991,3991,0,0.0,2172056,0
taraba,Taraba,16,168,168,0,3577,3597,20,0.56,2022374,1
yobe,Yobe,17,178,178,0,2823,2823,0,0.0,1485146,0
zamfara,Zamfara,14,147,147,0,3529,3529,0,0.0,1926870,0
TOTAL,,774,8799,8809,10,174175,176846,2671,1.51,93469008,87
