state_code,state_name,male,female,total
AB,Abia,1063424,1057384,2120808
AD,Adamawa,1193883,1002683,2196566
AK,Akwa Ibom,1223875,1133543,2357418
AN,Anambra,1311803,1344634,2656437
BA,Bauchi,1567508,1181760,2749268
BE,Benue,1451626,1326101,2777727
BO,Borno,1442711,1070570,2513281
BY,Bayelsa,566095,490767,1056862
CR,Cross River,894623,871843,1766466
DE,Delta,1637122,1584575,3221697
EB,Ebonyi,722805,874841,1597646
ED,Edo,1303228,1197853,2501081
EK,Ekiti,485396,502251,987647
EN,Enugu,973043,1139750,2112793
FC,FCT,856962,713345,1570307
GO,Gombe,905986,669808,1575794
IM,Imo,1199263,1220659,2419922
JI,Jigawa,1209490,1141808,2351298
KD,Kaduna,2334305,2000903,4335208
KE,Kebbi,1096449,935592,2032041
KN,Kano,3292291,2629079,5921370
KO,Kogi,953941,978713,1932654
KT,Katsina,1787364,1729355,3516719
KW,Kwara,875755,820172,1695927
LA,Lagos,3803396,3256799,7060195
NA,Nasarawa,983286,915958,1899244
NI,Niger,1546159,1152185,2698344
OG,Ogun,1322508,1365797,2688305
ON,Ondo,1006097,985247,1991344
OS,Osun,923438,1031362,1954800
OY,Oyo,1619863,1656812,3276675
PL,Plateau,1403066,1386462,2789528
RI,Rivers,1885293,1651897,3537190
SO,Sokoto,1216817,955239,2172056
TA,Taraba,1093949,928425,2022374
YO,Yobe,886423,598723,1485146
ZA,Zamfara,1014919,911951,1926870
