status,polling_unit_code,presiding_officer_name_present,presiding_officer_signature_present,polling_agent_signature_present,black_stamp
exist and not blur,09/13/03/002,0.0,1.0,1.0,1
exist and not blur,16/06/01/017,1.0,0.0,1.0,1
exist and not blur,01/15/03/050,1.0,1.0,1.0,0
exist and not blur,09/14/04/059,0.0,0.0,1.0,1
exist and not blur,19/21/11/001,0.0,1.0,1.0,1
exist and not blur,20/21/01/064,1.0,1.0,1.0,0
exist and not blur,15/11/06/004,1.0,1.0,1.0,0
exist and not blur,01/04/12/011,0.0,1.0,1.0,1
exist and not blur,14/11/04/011,1.0,1.0,0.0,1
exist and not blur,36/12/09/042,0.0,1.0,1.0,0
exist and not blur,19/05/06/012,1.0,0.0,1.0,0
exist and not blur,16/05/13/022,1.0,1.0,1.0,0
exist and not blur,16/03/08/018,0.0,1.0,1.0,0
exist and not blur,01/11/02/037,1.0,1.0,1.0,0
exist and not blur,01/08/07/009,1.0,1.0,0.0,1
exist and not blur,19/40/06/010,1.0,0.0,1.0,0
exist and not blur,13/05/09/012,1.0,1.0,1.0,0
exist and not blur,15/07/01/015,1.0,1.0,1.0,0
exist and not blur,15/11/11/004,1.0,0.0,1.0,1
exist and not blur,20/21/09/027,1.0,1.0,1.0,0
exist and not blur,16/02/03/007,1.0,0.0,1.0,1
exist and not blur,20/21/02/023,1.0,1.0,0.0,1
exist and not blur,20/04/12/010,1.0,1.0,1.0,0
exist and not blur,13/02/08/006,1.0,1.0,1.0,0
exist and not blur,19/38/10/035,1.0,0.0,1.0,1
exist and not blur,01/12/04/030,1.0,0.0,1.0,1
exist and not blur,19/31/10/025,1.0,0.0,1.0,1
exist and not blur,16/02/10/003,1.0,1.0,1.0,0
exist and not blur,19/24/01/006,1.0,1.0,1.0,0
exist and not blur,20/11/01/003,1.0,1.0,1.0,0
exist and not blur,09/09/12/024,1.0,1.0,1.0,0
exist and not blur,16/08/01/018,0.0,1.0,1.0,1
exist and not blur,19/14/03/020,1.0,0.0,1.0,0
exist and not blur,16/04/12/010,0.0,1.0,1.0,1
exist and not blur,13/04/08/006,0.0,0.0,0.0,0
exist and not blur,16/01/01/027,1.0,1.0,1.0,0
exist and not blur,19/23/05/010,1.0,1.0,1.0,0
exist and not blur,14/15/08/030,0.0,1.0,1.0,1
exist and not blur,16/10/07/015,0.0,1.0,1.0,1
