State,S/N,LGA,APC,LP,PDP,NNPP
Abia,1,ABA NORTH,190,35898,428,94
Abia,2,ABA SOUTH,215,36717,580,96
Abia,3,AROCHUKWU,601,14287,526,33
Abia,4,BENDE,1545,18446,973,79
Abia,5,IKWUANO,407,14995,1065,91
Abia,6,ISIALA NGWA NORTH,742,14336,5964,85
Abia,7,ISIALA NGWA SOUTH,772,14125,2691,75
Abia,8,ISUIKWUATO,472,16038,607,78
Abia,9,OBINGWA,564,23687,2747,144
Abia,10,OHAFIA,320,8327,432,98
Abia,11,OSISIOMA,158,19680,610,57
Abia,12,UGWUNAGBO,195,7066,930,34
Abia,13,UKWA EAST,264,5819,1200,15
Abia,14,UKWA  WEST,591,9557,918,20
Abia,15,UMUAHIA NORTH,795,51318,1529,112
Abia,16,UMUAHIA  SOUTH,475,25017,1156,82
Abia,17,UMU - NNEOCHI,608,11782,320,46
Akwa Ibom,1,ABAK,15058,5057,7017,123
Akwa Ibom,2,EASTERN OBOLO,1674,1345,2345,25
Akwa Ibom,3,EKET,4675,13238,9757,315
Akwa Ibom,4,ESIT EKET (UQUO),3819,2545,4484,73
Akwa Ibom,5,ESSIEN UDIM,19991,2823,7362,50
Akwa Ibom,6,ETIM EKPO,5182,1711,4733,40
Akwa Ibom,7,ETINAN,4505,4180,10455,346
Akwa Ibom,8,IBENO,878,2403,3227,47
Akwa Ibom,9,IBESIKPO ASUTAN,6480,3698,9326,345
Akwa Ibom,10,IBIONO IBOM,3407,7752,5274,997
Akwa Ibom,11,IKA,5511,1054,3750,35
Akwa Ibom,12,IKONO,6620,5198,6731,243
Akwa Ibom,13,IKOT ABASI,2875,4616,6900,153
Akwa Ibom,14,IKOT EKPENE,11803,5985,6624,207
Akwa Ibom,15,INI,3943,2894,7740,76
Akwa Ibom,16,ITU,4094,5882,7326,989
Akwa Ibom,17,MBO,3204,1456,3922,56
Akwa Ibom,18,MKPAT ENIN,2152,4105,9441,187
Akwa Ibom,19,NSIT ATAI,2853,1067,8371,302
Akwa Ibom,20,NSIT IBOM,5875,2015,8176,128
Akwa Ibom,21,NSIT UBIUM,2792,2329,11308,279
Akwa Ibom,22,OBOT AKARA,4477,2542,8029,95
Akwa Ibom,23,OKOBO,3168,2490,5273,172
Akwa Ibom,24,ONNA,1396,4745,8741,157
Akwa Ibom,25,ORON,2443,3033,3295,59
Akwa Ibom,26,ORUK ANAM,7039,2617,8962,74
Akwa Ibom,27,UDUNG UKO,1555,1068,2701,94
Akwa Ibom,28,UKANAFUN,6152,2067,7751,160
Akwa Ibom,29,URUAN,4987,3024,9327,921
Akwa Ibom,30,URUE OFFONG/ORUKO,3697,2010,3419,36
Akwa Ibom,31,UYO,7765,27534,12245,1044
Benue,1,ADO,2271,9987,1107,67
Benue,2,AGATU,3988,6302,4221,80
Benue,3,APA,3430,7421,3682,191
Benue,4,BURUKU,20248,13466,6909,240
Benue,5,GBOKO,35149,18615,13901,335
Benue,6,GUMA,10481,21796,999,94
Benue,7,GWER EAST,15900,9800,7370,107
Benue,8,GWER WEST,7332,17417,838,91
Benue,9,KATSINA-ALA,18632,7876,8060,203
Benue,10,KONSHISHA,10742,26261,3524,225
Benue,11,KWANDE,23027,11945,7813,437
Benue,12,LOGO,8121,13836,9377,152
Benue,13,MAKURDI,28692,48228,5134,674
Benue,14,OBI,4450,7949,4340,87
Benue,15,OGBADIBO,3129,10154,3460,182
Benue,17,OHIMINI,3239,6545,4972,64
Benue,16,OJU,8412,13192,4920,132
Benue,18,OKPOKWU,3409,10470,4641,142
Benue,19,OTUKPO,8471,23762,6760,332
Benue,20,TARKA,13640,2038,2642,37
Benue,21,UKUM,20719,8036,9892,161
Benue,22,USHONGO,20060,7324,7264,614
