source_ward_id,source_state,source_lga,source_ward,inec_ward_code,confidence,reason,action
RVSNDN06,Rivers,Andoni,Ikuru,,0.667,no_ward,skipped_no_match
RVSABM17,Rivers,Akuku Toru,Aktward 17,,0.375,no_ward,skipped_no_match
RVSABM01,Rivers,Akuku Toru,Aktward 1,,0.400,no_ward,skipped_no_match
CRSANA12,Cross River,Calabar South,Ward 12,,0.364,no_ward,skipped_no_match
BYSSPR09,Bayelsa,Southern Ijaw,Koluama,BY-07-17,1.000,exact,loaded
BYSSPR07,Bayelsa,Southern Ijaw,Foropa,BY-07-14,1.000,exact,loaded
CRSKTA02,Cross River,Akpabuyo,Ikot Edem Odo,CR-03-08,1.000,exact,loaded
CRSBKS10,Cross River,Bakassi,Atai Ema,CR-04-07,1.000,exact,loaded
BYSBRS10,Bayelsa,Brass,Sangana,BY-01-10,1.000,exact,loaded
BYSBRS03,Bayelsa,Brass,Brass 3,BY-01-01,0.857,needs_review,loaded
BYSKMR01,Bayelsa,Ekeremor,Iduwini 1,BY-02-11,0.778,needs_review,skipped_low_confidence
RVSBNY09,Rivers,Bonny,Boward 9,,0.320,no_ward,skipped_no_match
RVSDEG03,Rivers,Degema,Deward 3,,0.500,no_ward,skipped_no_match
RVSDEG01,Rivers,Degema,Deward 1,,0.500,no_ward,skipped_no_match
RVSDEG04,Rivers,Degema,Deward 4,,0.500,no_ward,skipped_no_match
RVSDEG13,Rivers,Degema,Deward 13,,0.471,no_ward,skipped_no_match
RVSNDN07,Rivers,Andoni,Samaga,RI-05-08,0.923,fuzzy,loaded
RVSDEG06,Rivers,Degema,Deward 6,,0.500,no_ward,skipped_no_match
AKSRNN04,Akwa Ibom,Oron,Esuk Oro,,0.300,no_ward,skipped_no_match
AKSRNN06,Akwa Ibom,Oron,Uko Uyikim,,0.348,no_ward,skipped_no_match
AKSRNN05,Akwa Ibom,Oron,Anamfa,,0.222,no_ward,skipped_no_match
AKSKRT06,Akwa Ibom,Eastern Obolo,Elekpom,,0.273,no_ward,skipped_no_match
DTSBUR08,Delta,Burutu,Ojobo,DE-04-05,1.000,exact,loaded
AKSBYF01,Akwa Ibom,Udung Uko,Eyonsek,,0.111,no_ward,skipped_no_match
AKSENW06,Akwa Ibom,Mbo,Effiat 1,AK-17-06,0.933,fuzzy,loaded
AKSKRT09,Akwa Ibom,Eastern Obolo,Iko,,0.111,no_ward,skipped_no_match
AKSKRT08,Akwa Ibom,Eastern Obolo,Okoroiyong,,0.308,no_ward,skipped_no_match
AKSKRT04,Akwa Ibom,Eastern Obolo,Okoromboko,,0.320,no_ward,skipped_no_match
